demand,avg_solve_time,avg_all_time,file_count
2,0.00021272487938398004,0.01985319927334782,10
4,0.00045095123350615007,0.04201040789484972,10
6,0.0005589697510003699,0.05379649549722665,10
8,0.0010420918464660298,0.05584043525159353,10
10,0.0025425449013709604,0.06701921112835404,10
12,0.04004283286631103,0.1384024918079376,10
14,0.09014512896537773,0.23653111234307284,10
16,0.15733789429068562,0.3246950663626194,10
18,0.26325736828148366,0.5320032894611358,10
20,1.8012186966836452,2.4944455355405806,10
22,6.727965090796351,9.591069886088372,10
24,210.9407578073442,215.92502618283032,10
26,147.0841457530856,152.13587183617057,10
28,149.92057025022805,155.58062619268895,10
30,597.4700424764305,604.7395605865865,10
32,2225.541373066604,2239.453614554927,10
34,243.4733037352562,252.3841022223234,10
36,2762.071112745752,2769.4811509680003,6
